Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
7;RJ00070751;3870058803;7;10,2;Motor;33;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1999
7;CE00253345;161M2013001190;;4,13;Motor, Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2009
02 DE JULHO;CE00033717;1620022150;0,9;5,3;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;1996
02 GUERREIROS;PA00161265;230095631;2;9;Motor;9;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2002
03 IRMAOS;AP00244798;220088276;4,53;10;Motor;22;;1000;3;;Deferida;AP;2.04.004;2.12;2. Rede de Emalhe;2011
03 IRM_OS;BA00002978;2810275254;12,3;11,47;Motor;225;;16477;2;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2005
03 MAIO II;ES00131160;3430045851;4;8,4;Motor;45;;70;4;;Deferida;ES;2.04.001;2.4;2. Rede de Emalhe;1994
03 NETINHOS;SC00180187;4420222727;14,5;12,6;Motor;60;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
04 DE ABRIL;CE00251427;161M2010000851;;5,68;Motor;17;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2008
04 DE JULHO;CE00013379;1620014009;5;8,85;Motor;51;;3735;4;200;Deferida;CE;5.01.004;5.3;5. Armadilha;1984
11 DE NOVEMBRO;RJ00130718;3877041710;0,7;6,3;Remo;60;;10;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2003
12 AP_STOLOS;CE00248690;1630046035;31;14;Motor;140;;7000;6;;Deferida;CE;1.06.003;1.12;1. Linha;2014
12 DE AGOSTO;MA00273719;1210141124;1;5,95;Motor;9;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2009
13 DE JUNHO;BA00210171;2930018321;1,9;7;Motor;18;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1998
14 DE DEZEMBRO;RJ00140247;3870010789;;7,2;Motor;3,5;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1962
16 de Janeiro;PA00161645;230076823;2,3;8,2;Motor;;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1996
16 DE JUNHO;RN00105467;1810057345;6;8,5;Motor;45;;;5;200;Deferida;RN;5.01.001;5.1;5. Armadilha;2000
19 DE MAR_O;BA00244768;2930001348;3;9,2;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1982
1_ VALERIA;CE00026784;1620020114;1,7;6,77;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;1995
1_ de abril;PA00309519;211027618;82;21,27;Motor;375;110,28;;;;Deferida;PA;3.08.002;3.2;3. Rede de Arrasto;2017
1 DE JUNHO;ES00070765;3430034710;7,9;9,62;Motor;60;;70;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1982
1 DE MAIO;SP00042508;4030175686;5,1;9;Motor;18;;340;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1986
1_ MISSIONARIO;AP00216967;220047928;8,2;14;Motor;69;;100;2;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;1999
1 SOLAR;CE00292577;1630046639;34;13,65;Motor;108;;5000;;;Deferida;CE;1.06.003;1.12;1. Linha;2016
20 DE OUTUBRO;ES00129121;3410120319;;6,6;Motor;;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1983
20 DE OUTUBRO;RN00013391;1810051151;3,8;8,25;Motor;18;;;5;200;Deferida;RN;5.01.001;5.1;5. Armadilha;1997
23 DE ABRIL XVII;BA00183717;2930013834;3,2;8;Motor;18;;50;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1995
24 HORAS;RJ00150048;388M2018001003;0,35;4,98;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2017
27 DE MAIO;ES00070777;3410064460;1,15;4,8;Motor;10;;;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1961
29 DE JUNHO;ES00070789;3430024978;6,5;8,9;Motor;160;;70;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1976
2 AMIGOS;CE00032497;161M2007001611;;6,14;Vela;;;;3;80;Deferida;CE;5.01.004;5.3;5. Armadilha;1995
2 DE JULHO;BA00239525;2930012684;2,1;8,1;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1991
2 IRM_OS;PA00189765;210302691;4;10,8;Motor;96;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
2 IRM_OS;SC00208946;442M2008000014;;5,2;Motor;15;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
2 IRM_OS;RJ00148169;387M2012001069;;7;Motor;6,5;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2009
2 IRM_OS DO CASTELO;PA00112284;210283971;1,3;7;Motor;12;;;;;Deferida;PA;2.00.000;null;2. Rede de Emalhe;1999
2 IRMAOS II;PA00161247;230104240;2,5;11;Motor;11;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2005
2 IRMAS;PA00161479;230098207;2,5;11;Motor;9;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
2 IRM_S;SC00332290;443M2022003327;1;5;Remo;;;;4;;Deferida;SC;6.08.004;6.11;6. Diversificada;2020
2 Litros e 1/2;SP00164851;484M2004002597;;5,83;Motor;25;;;5;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;2004
2_ MISSIONARIO;AP00211847;220085838;2,29;10;Motor;60;;2000;4;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2009
2 PEDRO;BA00238109;2930022060;13,9;13;Motor;;;;5;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2002
2 TOK;SC00298309;441M2016001505;1;5,05;Motor;15;;;1;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2014
3 AMIGOS;SC00164591;441M2009000371;;4;Motor;4;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
3 AMIGOS DO ARARI II;PA00172328;210994363;7;12;Motor;32;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2011
3 AMORES;SC00323529;4420223588;1,6;7,8;Motor;50;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1978
3 AS;PR00116068;421M2010000058;;6,14;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2009
3 BEIJA FLOR;MA00205536;1210112515;6,4;10,4;Motor;33;;250;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;1992
3 DE MAIO I;ES00070797;3430046343;4,7;9;Motor;60;;6009;4;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1995
3 FILHOS;SC00290957;441M2016005152;2;5;Motor;11;;;1;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2014
3 IRMAES;RN00033729;181M2005000571;0,6;4,7;Vela;;;;3;30;Deferida;RN;5.01.004;5.3;5. Armadilha;2005
3 IRMAOS;SP00070809;4030141340;9,6;8,7;Motor;174;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1984
3 IRM_OS;SC00170758;4410456148;1;6,3;Motor;9;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1986
3 IRM_OS;PR00145189;421M2008003171;;6,6;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2004
3 IRM_OS;SC00300555;4451111226;1;6,2;Motor;10;1,4;;4;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2008
3 IRM_OS;SP00124159;401M2001082792;;5;Motor;15;;;4;;Deferida;SP;6.03.001;6.6;6. Diversificada;1995
3 IRM_OS;SP00289020;403M2016000599;;5,95;Motor;15;;;;;Deferida;SP;6.03.001;6.6;6. Diversificada;2014
3 IRM_OS I;SP00311104;4039149971;1,2;6;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2017
3 MANINHO;AP00284640;220099031;15;15;Motor;;;1600;;;Deferida;AP;2.04.004;2.12;2. Rede de Emalhe;2014
3_ MILENIO;PA00112840;210272643;5,8;11,26;Motor;69;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1999
3_ Mil_nio;PA00301685;210176661;8,58;22,7;Motor;365;;;5;;Deferida;PA;3.08.002;3.2;3. Rede de Arrasto;1973
3 PODERES I;ES00342307;3410239049;2;6,93;Motor;11;;;4;;Deferida;ES;1.06.001;1.14;1. Linha;2004
421M2006000996;PR00114458;421M2006000996;;4,52;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2006
421M2011002891;PR00132428;421M2011002891;;6,65;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2010
4420132931;SP00165811;4420132931;15,93;10,8;Motor;60;;;;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1983
4 DIMENS_O;PR00147427;4211492454;;9,2;Motor;11;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2004
4 IRMAOS;ES00070817;3430027497;4,8;8,3;Motor;;;;;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1966
4 IRMAOS;ES00163999;341M2012004367;;6,3;Remo;;;;2;;Deferida;ES;6.03.001;6.6;6. Diversificada;2012
4 Irm_os;ES00253017;3420048823;1,6;6,17;Motor;10;;;4;;Deferida;ES;6.03.001;6.6;6. Diversificada;1995
4 IRM_OS;MA00245160;1210139766;3;8,75;Motor;18;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2006
4 IRM_OS;SC00205726;441M2012003494;;4,6;Remo;;;;4;;Deferida;SC;6.08.001;6.8;6. Diversificada;2005
4 IRMAOS COSTA 2;PA00102177;210302453;7,9;10,2;Motor;49;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
4 IRMAOS COSTA 4_;PA00102201;210313714;5,5;10,3;Motor;49;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2007
4 IRMAOS COSTA 5_;PA00102195;210317116;6,9;10,5;Motor;45;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2007
4 IRMAOS COSTA III;PA00102181;210307358;8,3;11,4;Motor;49;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2005
4 IRMAOS II;AL00013437;2210119073;4;9;Motor;;;;4;200;Deferida;AL;5.01.004;5.3;5. Armadilha;1989
4 IRM_OS II;SC00300505;4410171381;1,3;6,7;Remo;;1,3;;3;;Deferida;SC;6.08.001;6.8;6. Diversificada;2000
4 IRM_OS II;RN00260848;1820025616;4;8,5;Motor;60;;;3;;Deferida;RN;5.01.006;5.9;5. Armadilha;2009
4 Irm_s;PR00148607;421M2007000716;;6;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;1999
5 ESTRELAS;RJ00147547;386M2012001570;;4,3;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2011
5 ESTRELAS;SC00061450;4450087895;0,9;11;Remo;;;;7;;Deferida;SC;6.08.001;6.8;6. Diversificada;2005
5 MISSIONARIO;SC00305827;442M2015000677;2;6,4;Motor;10;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2014
6 IRM_ES;MA00276129;1210143127;;9;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2011
7 COSTEIRAS;SC00164795;4410457268;1;5,8;Motor;11;0,5;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1995
7 ESTRELAS;BA00239765;2930003219;6,4;9,9;Motor;;;;6;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1984
7 FILHOS;SC00067080;4410168649;3,2;8,5;Motor;18;;;;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;1997
8 DE AGOSTO;PA00100245;210316497;9,8;12;Motor;69;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2006
8 DE DEZEMBRO;BA00013449;2810252882;5,3;9,5;Motor;33;;;3;220;Deferida;BA;5.01.001;5.1;5. Armadilha;1994
8 DE OUTUBRO;RN00013457;1810040558;10;9,7;Motor;54;;;6;220;Deferida;RN;5.01.001;5.1;5. Armadilha;1983
A ADRIANA;PE00281314;2210067472;3,9;8;Motor;;;;;;Deferida;PE;1.06.003;1.12;1. Linha;1978
A AGULHA;PE00026818;2210149622;0,4;6,8;Vela;;;;4;80;Deferida;PE;5.01.004;5.3;5. Armadilha;2001
A ANDORINHA;BA00183685;2930021411;7,7;10;Motor;18;;;5;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2002
AA PESCA;CE00290151;1630046621;27;13,17;Motor;108;;5000;;;Deferida;CE;1.10.001;1.17;1. Linha;2016
A ARCA DE NO_;RJ00209646;387M2010001581;;5,15;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2010
AAS CIA TANTO FAZ;SC00220316;4418894110;0,9;5,4;Motor;7,5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
ABA;PA00288024;211015784;16;14;Motor;114;;;4;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2015
Abacate I;SC00153128;4420211652;0,9;7,18;Motor;11;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
ABACAXI;RJ00167927;387M2012000623;;5,1;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2011
ABADIAS;RN00013461;1810048109;3;7,72;Motor;90;;;3;160;Deferida;RN;5.01.003;5.2;5. Armadilha;1995
ABAGUALADO I;SC00173430;441M2008002684;;4;Motor;7;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2007
ABALEM;PR00163545;4211509659;1;9,1;Motor;18;;;4;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2002
ABALUARTE;MA00216991;1210132052;7;11;Motor;22;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2004
A BARCA;PR00070821;4211496573;0,5;7,8;Motor;18;;;3;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2005
ABAR_ KALUAN;SC00327925;4430506787;14;10,77;Motor;108;;;;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2021
_BBA;SP00215047;4030226515;1,6;8;Motor;9;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2004
ABDIAS;RJ00241276;3877049133;5;9,51;Motor;15;;;2;;Deferida;RJ;1.06.001;1.14;1. Linha;2010
ABDIAS;SP00073727;4010261668;13;12;Motor;91;;5784;5;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1976
ABDIEL;SC00220858;4420227591;1,6;6,4;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
ABDON;PA00070157;210986701;5;8;Motor;12;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2010
ABEL;BA00250625;2930032359;3;8;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2009
ABEL DE CASTRO;SP00004778;4030150144;5;8,7;Motor;18;;500;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1986
ABELHA RAINHA;SC00284238;443M2016000476;;4,41;Motor;6,5;;;3;;Deferida;SC;6.03.004;6.7;6. Diversificada;2015
A BEN__O DE DEUS;CE00211885;1610064020;7,3;9,45;Motor;75;;30000;5;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2004
A BEN__O DO SENHOR;RJ00134900;3877041256;11,8;11,9;Motor;90;;;3;;Deferida;RJ;1.02.001;1.3;1. Linha;2002
ABEN_OADA;SC00167489;442M2006004010;;5,5;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
ABEN_OADA;SC00306621;441M2017002854;1;5,92;Motor;9,9;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2017
ABEN_OADA POR DEUS;PI00000396;1410110214;4,3;8,7;Motor;46;;;3;;Deferida;PI;3.02.001;3.4;3. Rede de Arrasto;2004
ABEN_OADA POR DEUS;MA00201108;1210118866;2;7,27;Motor;18;;250;2;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2004
ABEN_OADA POR DEUS;RJ00171838;387M2010001093;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2009
ABEN_OADA SEJA;SC00320491;4418923560;2;7,83;Motor;18;;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2019
ABENCOADO;SC00316506;4451114594;1;7,58;Motor;10;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
ABEN_OADO;RJ00158888;387M2011002413;;6,2;Motor;6,5;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2005
ABEN_OADO;PB00210097;2010077075;5,1;9;Motor;29;;150;5;;Deferida;PB;6.03.003;6.5;6. Diversificada;2004
ABEN_OADO;ES00125277;2930031417;18,6;13;Motor;170;;;8;;Deferida;ES;1.02.001;1.3;1. Linha;2007
ABEN_OADO;RJ00149331;3826670434;1,9;6,99;Motor;13;;;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2007
ABEN_OADO;RJ00312600;388M2018001488;0,4;5,53;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2018
ABEN_OADO;RJ00072697;4210144711;1,3;7;Motor;60;;;2;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1974
ABEN_OADO;SC00342849;4430503761;3,11;6,87;Motor;11;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2019
ABEN_OADO;SC00270289;4418909061;1;6,5;Motor;15;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2014
ABEN_OADO;SP00144827;4030238599;5,3;7,9;Motor;18;;;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;2006
ABEN_OADO A;RJ00225738;3820086331;19,9;13,5;Motor;120;;;2;;Deferida;RJ;1.01.001;1.2;1. Linha;1982
ABEN_OADO DE DEUS;AL00300295;2410138951;4,5;9,8;Motor;64;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;1986
ABEN_OADO I;BA00188741;2820082891;3,4;8,4;Motor;15;;;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2009
ABEN_OADO I;RJ00044628;3877041809;6;11,5;Motor;70;;;2;;Deferida;RJ;3.02.005;3.5;3. Rede de Arrasto;2003
ABEN_OADO II;PB00241656;2210159563;2;8;Motor;23;;250;3;;Deferida;PB;6.03.003;6.5;6. Diversificada;2011
ABEN_OADO III;SC00195294;4418895850;2;8,74;Motor;18;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
ABEN_OADO POR DEUS;PB00212857;2010074866;3,7;8;Motor;22;;;5;;Deferida;PB;6.03.003;6.5;6. Diversificada;1998
ABEN_OADO POR DEUS;SP00310096;4039151704;1,68;6,3;Motor;15;;;2;;Deferida;SP;6.03.001;6.6;6. Diversificada;2018
ABEN_OADO POR DEUS II;ES00047306;3410237399;10,8;9,92;Motor;200;;;5;;Deferida;ES;1.02.001;1.3;1. Linha;2002
ABEN_OADO POR DEUS III;PB00304271;2010220056;37;17;Motor;280;;;8;;Deferida;PB;1.01.002;1.1;1. Linha;2018
ABEN_OADO POR DEUS Z9;RJ00182727;3813884007;0,1;8,5;Motor;;;;2;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;2005
ABEN_OADO VIII;SC00340519;441M2022004733;1;6,7;Motor;16,3;;;4;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2020
ABEN_OADO XVII;RJ00051927;3877042007;6;10,5;Motor;;;;4;;Deferida;RJ;1.06.001;1.14;1. Linha;2002
ABEN_ODO;BA00260264;3410114149;4;7,5;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1980
Abiatar;SP00142445;401M2004000133;;6;Remo;;;;5;;Deferida;SP;6.03.001;6.6;6. Diversificada;1980
ABIATAR;BA00279419;3410240349;12;9,8;Motor;;;;6;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2005
ABIEZER;PR00115320;421M2009081783;;5,83;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
ABIGAIL;PE00261788;1810054303;3,3;8;Motor;18;;;3;;Deferida;PE;1.07.001;1.15;1. Linha;2002
ABIGAIL;SC00050125;4420201428;6,2;9,6;Motor;24;;300;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2004
ABIL;PR00283298;421M2008000830;;5,1;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2006
ABILIO SILVA;SC00050137;4410446169;10;12,15;Motor;60;;;4;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2003
ABIMAEL;SC00055219;4450081579;3,7;9;Motor;36;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1996
ABNER;SC00066534;4420003090;3,4;8,5;Motor;18;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2001
ABNER K;SC00057859;4430123471;3,2;10,2;Motor;33;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1988
ABRAAO;SC00066548;4410448226;6;9,8;Motor;18;4;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2002
ABRAAO DE BELEM;PA00130078;210261137;7,7;11,3;Motor;16;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1996
ABRA_O III;CE00253559;161M2007001050;;5,3;Vela;;;;;;Deferida;CE;1.03.005;1.6;1. Linha;1996
ABRA_O III;RS00260370;4451116040;18,08;14,9;Motor;220;;;;;Deferida;RS;2.04.001;2.4;2. Rede de Emalhe;2012
ABRAHAO;CE00026150;1820009025;3,6;7,25;Motor;40;;1900;4;160;Deferida;CE;5.01.003;5.2;5. Armadilha;1964
ABRAH_O;SC00071707;4430048118;1,4;6,7;Motor;18;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1973
ABRAMAR;SC00317594;443M2018004129;;5,35;Motor;15;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2006
ABRAO;SC00070867;4430107149;3,3;8,5;Motor;45;2,8;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1998
ABRIGO DOS REIS;SC00048950;4410155385;3,2;8,8;Motor;33;2,8;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1989
ABRIGO DOS REIS I;RJ00012187;3820053361;28,72;15;Motor;170;;2500;12;;Deferida;RJ;4.01.005;4.2;4. Rede de Cerco;1958
ABROLHOS;BA00236127;2930024631;5,4;9;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2006
ABROLINHO;BA00240660;2930003774;4;7,8;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1984
ABSOLUTTA;SC00060476;4410170066;3,3;9,88;Motor;18;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1998
ABUSADO;SC00343157;441M2014006680;1;5,12;Motor;18;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
AC_CIA;SC00176580;442M2010006683;;5,3;Motor;5,5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2010
A CAMINHO DE MARTINS;RJ00329481;3868899693;0,63;5,25;Motor;40;0,19;;1;;Deferida;RJ;1.06.001;1.14;1. Linha;2015
Acapulco;PA00141037;210282401;54;22,95;Motor;190;;;4;;Deferida;PA;3.01.001;3.1;3. Rede de Arrasto;2001
ACAPULCO;PR00070885;4210258032;;6,7;Motor;;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1992
ACARAI-TE;SC00156856;442M2008002653;;5;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2008
ACARAU PESCA I;CE00026826;1610030796;14;10;Motor;110;;8056;4;220;Deferida;CE;5.01.003;5.2;5. Armadilha;1957
ACARAU PESCA III;CE00096187;1810044162;17,4;12,2;Motor;115;;;4;400;Deferida;CE;5.01.003;5.2;5. Armadilha;1989
ACARAU PESCA IV;CE00132064;1610054130;19,9;12,6;Motor;60;;3000;5;400;Deferida;CE;5.01.001;5.1;5. Armadilha;1987
ACARAU PESCA IX;CE00096149;1610044606;14,7;13;Motor;;;;5;400;Deferida;CE;5.01.001;5.1;5. Armadilha;1982
ACARAU PESCA VI;CE00026838;1410105997;8,7;9,35;Motor;110;;8056;4;220;Deferida;CE;5.01.001;5.1;5. Armadilha;1992
ACARAU PESCA X;CE00026840;1610029569;10,5;12,34;Motor;60;;4394;5;400;Deferida;CE;5.01.001;5.1;5. Armadilha;1970
ACARAU PESCA XIV;CE00037847;1610029755;10,8;10,75;Motor;60;;4394;4;250;Deferida;CE;5.01.001;5.1;5. Armadilha;1970
ACARAU PESCA XVII;CE00026868;1630038369;18,5;13,07;Motor;110;;8056;7;430;Deferida;CE;5.01.001;5.1;5. Armadilha;2001
ACC PESCA I;CE00007210;1630041025;18,1;12,94;Motor;120;;8788;6;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2003
ACC PESCA II;CE00044326;1410110800;19,5;12,9;Motor;145;;7000;6;;Deferida;CE;5.01.006;5.9;5. Armadilha;2007
AC MARLIN;CE00239417;1630045900;36;15,65;Motor;140;;6600;9;;Deferida;CE;1.10.001;1.17;1. Linha;2013
ACOMPANHADO DE DEUS;PA00107119;210258373;10;12;Motor;69;;3000;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1995
ACORDEI COM DEUS;PA00187187;211003433;7;9;Motor;32;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2012
A COR DO RETRATO;RJ00096327;3877042953;8,9;12;Motor;115;;;3;;Deferida;RJ;1.02.001;1.3;1. Linha;2004
A_ORIANA;SC00180117;441M2008005411;;6,19;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
A_ORIANA;SC00163297;4410152637;1,4;7,7;Motor;11;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1989
A_ORIANO;SC00172018;4418897593;2;7,8;Motor;;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2010
ACRESCIMO DO SENHOR;CE00285148;1630046469;38;14,87;Motor;108;;7000;;;Deferida;CE;1.10.001;1.17;1. Linha;2016
A C S CORDEIRO;PA00096175;210989149;6;11;Motor;22;;;2;;Deferida;PA;2.00.000;null;2. Rede de Emalhe;2010
A_U;BA00265200;281M2014004005;;7,6;Motor;;;;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2013
A_UCENA;PR00114860;421M2010002093;;5,57;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2009
ADA E VERINHA;SC00320557;4430496528;8;8,78;Motor;60;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2007
ADAILTON;PR00070897;4211496182;3;8,7;Motor;11;;;6;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2003
ADAMAS II;PR00070917;4420133414;1,2;9;Motor;11;;;3;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1983
ADAO II;PB00013475;1610062141;14,8;11,23;Motor;45;2;1000;6;300;Deferida;PB;5.01.001;5.1;5. Armadilha;2003
